date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-08-02,1472.28,1553.66,1433.99,1552.8,9740065.0,16515259089.0,1256197800.0,0.007753607751900218,0.044274678817805224,0.045269428831072656
2021-08-03,1530.68,1565.18,1494.22,1547.75,5437475.0,9447823227.0,1256197800.0,0.004328518168078307,-0.003257489455458895,-0.0032521895929932265
2021-08-04,1534.27,1557.22,1520.06,1525.37,3817549.0,6614683378.0,1256197800.0,0.0030389712511835316,-0.014565259835197963,-0.014459699563883155
2021-08-05,1497.83,1543.95,1483.22,1503.25,4805969.0,8177369851.0,1256197800.0,0.003825805935976006,-0.014607572644464994,-0.014501399660410197
2021-08-06,1494.4,1498.83,1456.89,1478.48,4568610.0,7616109615.0,1256197800.0,0.003636855597104214,-0.016614897942178075,-0.016477631797771508
2021-08-09,1460.78,1512.1,1459.9,1498.65,4769775.0,8028155490.0,1256197800.0,0.003796993594480105,0.013550169869636974,0.013642389481088646
2021-08-10,1504.13,1595.16,1482.01,1591.73,8328505.0,14549496463.0,1256197800.0,0.006629931209877935,0.06025677218387582,0.062109231641810814
2021-08-11,1574.93,1579.35,1548.38,1548.82,3866259.0,6821292779.0,1256197800.0,0.003077746991755598,-0.02732812436893539,-0.02695808962575319
2021-08-12,1532.45,1547.49,1491.92,1495.29,4755097.0,8130692626.0,1256197800.0,0.0037853091288648968,-0.035173182715855233,-0.03456179543136062
2021-08-13,1495.29,1515.64,1485.55,1504.17,3790452.0,6418412544.0,1256197800.0,0.003017400603631052,0.0059210830908309475,0.005938647352687454
2021-08-16,1500.6,1516.17,1490.93,1503.43,2805697.0,4773049794.0,1256197800.0,0.0022334834530039777,-0.0004920867235886917,-0.0004919656687741858
2021-08-17,1504.13,1504.13,1441.21,1446.62,6120077.0,10140291982.0,1256197800.0,0.004871905523158853,-0.03851936347194318,-0.037786927226409084
2021-08-18,1437.47,1453.69,1415.66,1433.35,5997026.0,9701556273.0,1256197800.0,0.004773950408128402,-0.009215438988604774,-0.009173106966584132
2021-08-19,1435.32,1453.88,1415.66,1433.33,4129195.0,6682355678.0,1256197800.0,0.003287057977652882,-1.3953423472656823e-05,-1.3953326124083176e-05
2021-08-20,1375.99,1413.49,1349.74,1369.65,11454454.0,17825198286.0,1256197800.0,0.00911835222128235,-0.045445175698985096,-0.04442801029769827
2021-08-23,1360.69,1414.77,1359.71,1389.28,7159720.0,11218832883.0,1256197800.0,0.005699516429657814,0.014230394581876027,0.014332128646004305
2021-08-24,1393.54,1453.3,1385.37,1437.93,7259447.0,11703813764.0,1256197800.0,0.0057789044050228396,0.03441895206336465,0.03501813889208805
2021-08-25,1457.81,1487.21,1453.7,1473.18,5423890.0,9037626406.0,1256197800.0,0.00431770378836836,0.024218750213836238,0.024514406125472066
2021-08-26,1473.16,1473.16,1410.98,1411.23,5402037.0,8722233201.0,1256197800.0,0.0043003076426339866,-0.042961665059566556,-0.04205188775302415
2021-08-27,1405.92,1437.78,1401.59,1412.14,3609545.0,5791426192.0,1256197800.0,0.002873389047489177,0.000644619749810893,0.0006448275617723098
2021-08-30,1420.08,1427.16,1367.83,1403.27,5158770.0,8098190333.0,1256197800.0,0.0041066542227665105,-0.006301056931211413,-0.006281246901865378
2021-08-31,1406.63,1430.12,1375.93,1378.5,4367709.0,6888080927.0,1256197800.0,0.0034769277577145893,-0.01780927588471748,-0.017651627983210627
2021-09-01,1379.38,1446.61,1354.69,1435.13,7731610.0,12370243405.0,1256197800.0,0.006154771167406916,0.04025948596112716,0.04108088501994933
2021-09-02,1444.85,1453.7,1416.44,1432.29,4283679.0,6939707277.0,1256197800.0,0.0034100354259496393,-0.0019808754410926,-0.0019789148021435166
2021-09-03,1424.52,1468.56,1399.73,1467.17,5283518.0,8631165696.0,1256197800.0,0.004205960239701104,0.024060813199128006,0.02435261015576473
2021-09-06,1459.01,1511.35,1438.79,1478.18,5533806.0,9306030671.0,1256197800.0,0.004405202747529091,0.007476226107360873,0.007504242862108601
2021-09-07,1469.65,1490.4,1460.78,1476.71,3121122.0,5204051657.0,1256197800.0,0.002484578463678252,-0.000994960977410031,-0.0009944661678550348
2021-09-08,1468.74,1478.64,1440.5,1444.94,3306367.0,5428265636.0,1256197800.0,0.00263204329763991,-0.021748842119864165,-0.02151404134867374
2021-09-09,1438.66,1455.47,1436.9,1445.81,1995013.0,3257785762.0,1256197800.0,0.0015881360403592491,0.0006019199351499083,0.0006021011253061204
2021-09-10,1445.81,1476.53,1444.85,1471.03,3338811.0,5528034093.0,1256197800.0,0.002657870440467258,0.017293117554824988,0.017443509174787764
2021-09-13,1473.17,1489.98,1451.14,1463.43,2772002.0,4605031711.0,1256197800.0,0.0022066604479008003,-0.005179840238270117,-0.0051664479990209955
2021-09-14,1467.86,1489.09,1462.55,1466.09,3376061.0,5638962654.0,1256197800.0,0.0026875234139082235,0.0018159976590172988,0.0018176475813669324
2021-09-15,1459.9,1468.74,1424.5,1429.58,4157005.0,6781755393.0,1256197800.0,0.0033091962109788762,-0.025218298283716578,-0.024902973214468438
2021-09-16,1418.31,1454.59,1402.38,1449.34,4596802.0,7458455126.0,1256197800.0,0.003659297922667911,0.013727585558312327,0.013822241497502663
2021-09-17,1433.35,1509.09,1433.35,1491.75,5513025.0,9242101552.0,1256197800.0,0.004388659970587435,0.02884164702377312,0.029261594932866064
2021-09-22,1467.71,1493.52,1446.62,1449.0,3174300.0,5227723003.0,1256197800.0,0.002526910968957277,-0.02907626408150943,-0.02865761689291102
2021-09-23,1449.28,1465.1,1437.85,1446.62,3034181.0,4964210091.0,1256197800.0,0.0024153688216935264,-0.001643862479160596,-0.001642512077294711
2021-09-24,1440.43,1521.81,1440.43,1498.83,6953660.0,11756596091.0,1256197800.0,0.005535481752953237,0.03545500289050274,0.036091025977796454
2021-09-27,1548.37,1648.71,1548.37,1641.28,12686892.0,23270689702.0,1256197800.0,0.010099438161728988,0.09079162146887931,0.09504079848948854
2021-09-28,1635.08,1645.7,1588.19,1612.13,4922105.0,8973408813.0,1256197800.0,0.003918256344661645,-0.01792013922468616,-0.017760528368102824
